time,latitude,longitude,wind_dir,wind_spd,gust,wave_height,dominant_wpd,average_wpd,mean_wave_dir,air_pressure,air_temperature,sea_surface_temperature
2019-01-01 00:50:00,40.250999450683594,-73.16400146484375,135.0,11.3,14.1,1.56,0 days 00:00:05.559999943,0 days 00:00:04.710000038,153.0,1018.4,8.1,7.1
2019-01-01 01:50:00,40.250999450683594,-73.16400146484375,127.0,11.2,14.0,1.92,0 days 00:00:05.880000114,0 days 00:00:05.090000153,135.0,1016.6,8.3,7.1
2019-01-01 02:50:00,40.250999450683594,-73.16400146484375,137.0,12.7,15.3,2.23,0 days 00:00:06.250000,0 days 00:00:05.219999790,143.0,1013.6,8.7,7.2
2019-01-01 03:50:00,40.250999450683594,-73.16400146484375,150.0,13.7,16.9,2.52,0 days 00:00:06.670000076,0 days 00:00:05.489999771,148.0,1010.7,9.5,7.2
2019-01-01 04:50:00,40.250999450683594,-73.16400146484375,168.0,9.5,11.2,2.77,0 days 00:00:07.139999866,0 days 00:00:05.750000,141.0,1010.0,10.2,7.2
2019-01-01 05:50:00,40.250999450683594,-73.16400146484375,196.0,8.9,10.1,2.55,0 days 00:00:07.690000057,0 days 00:00:05.699999809,133.0,1007.8,10.8,7.3
2019-01-01 06:50:00,40.250999450683594,-73.16400146484375,208.0,11.5,14.0,2.3,0 days 00:00:07.139999866,0 days 00:00:05.510000229,129.0,1006.0,11.2,7.3
2019-01-01 07:50:00,40.250999450683594,-73.16400146484375,215.0,12.1,14.1,2.26,0 days 00:00:07.139999866,0 days 00:00:05.369999886,120.0,1004.4,11.4,7.3
2019-01-01 08:50:00,40.250999450683594,-73.16400146484375,219.0,11.2,13.4,2.21,0 days 00:00:07.690000057,0 days 00:00:05.329999924,135.0,1003.3,11.3,7.4
2019-01-01 09:50:00,40.250999450683594,-73.16400146484375,226.0,11.0,13.6,2.25,0 days 00:00:07.690000057,0 days 00:00:05.369999886,130.0,1002.3,11.0,7.4
2019-01-01 10:50:00,40.250999450683594,-73.16400146484375,230.0,9.8,11.7,2.6,0 days 00:00:07.690000057,0 days 00:00:05.659999847,128.0,1003.2,10.7,7.4
2019-01-01 11:50:00,40.250999450683594,-73.16400146484375,233.0,9.5,11.1,2.54,0 days 00:00:07.139999866,0 days 00:00:05.829999924,148.0,1003.7,10.6,7.4
